index,Notice Type,Posted Date/Time,Notice Effective Date/Time,Notice End Date/Time,Notice Identifier,Subject,Response Date/Time,unit
35,Capacity Constraint,10/08/2022 03:23:00 PM,10/09/2022 09:00:00 AM,10/10/2022 09:00:00 AM,125979,AGT Pipeline Conditions for 10/9/2022,,AG
36,Capacity Constraint,10/07/2022 03:40:00 PM,10/08/2022 09:00:00 AM,10/09/2022 09:00:00 AM,125941,AGT Pipeline Conditions for 10/8/2022,,AG
37,Capacity Constraint,10/06/2022 03:30:00 PM,10/07/2022 09:00:00 AM,10/08/2022 09:00:00 AM,125907,AGT Pipeline Conditions for 10/7/2022,,AG
38,Computer System Status,10/06/2022 02:28:06 PM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,125866,LINK System Maintenance the weekend of October 14th,,AG
39,Capacity Constraint,10/05/2022 04:02:00 PM,10/06/2022 09:00:00 AM,10/07/2022 09:00:00 AM,125851,AGT Pipeline Conditions for 10/6/2022,,AG
40,Capacity Constraint,10/04/2022 03:34:54 PM,10/05/2022 09:00:00 AM,10/06/2022 09:00:00 AM,125814,AGT Pipeline Conditions for 10/5/2022,,AG
41,Computer System Status,10/04/2022 07:49:45 AM,10/05/2022 05:00:00 AM,10/05/2022 10:00:00 AM,125765,"Reminder - Application Maintenance on Wednesday October 5, 2022",,AG
42,Capacity Constraint,10/03/2022 03:03:00 PM,10/04/2022 09:00:00 AM,10/05/2022 09:00:00 AM,125743,AGT Pipeline Conditions for 10/4/2022,,AG
43,Operational Flow Order,10/03/2022 07:56:03 AM,10/04/2022 09:00:00 AM,01/01/2023 09:00:00 AM,125724,AGT Operational Flow Order -- LIFTED,,AG
44,Capacity Constraint,10/02/2022 03:34:36 PM,10/03/2022 09:00:00 AM,10/04/2022 09:00:00 AM,125720,AGT Pipeline Conditions for 10/3/2022,,AG
45,Capacity Constraint,10/01/2022 03:14:19 PM,10/02/2022 09:00:00 AM,10/03/2022 09:00:00 AM,125685,AGT Pipeline Conditions for 10/2/2022,,AG
46,Capacity Constraint,09/30/2022 03:42:00 PM,10/01/2022 09:00:00 AM,10/02/2022 09:00:00 AM,125654,AGT Pipeline Conditions for 10/1/2022,,AG
47,Capacity Constraint,09/29/2022 02:54:18 PM,09/30/2022 09:00:00 AM,10/01/2022 09:00:00 AM,125602,AGT Pipeline Conditions for 9/30/2022,,AG
48,Operational Flow Order,09/29/2022 08:10:00 AM,10/01/2022 09:00:00 AM,12/28/2022 09:00:00 AM,125588,AGT Operational Flow Order,,AG
49,Capacity Constraint,09/28/2022 03:34:37 PM,09/29/2022 09:00:00 AM,09/30/2022 09:00:00 AM,125582,AGT Pipeline Conditions for 9/29/2022,,AG
50,Capacity Constraint,09/27/2022 03:15:18 PM,09/28/2022 09:00:00 AM,09/29/2022 09:00:00 AM,125539,AGT Pipeline Conditions for 9/28/2022,,AG
51,Computer System Status,09/27/2022 01:36:32 PM,09/27/2022 01:36:32 PM,12/26/2022 01:36:32 PM,125493,"LINK Application Maintenance Postponed until October 5, 2022",,AG
52,Computer System Status,09/26/2022 03:38:32 PM,09/26/2022 03:38:32 PM,12/25/2022 03:38:32 PM,125465,"Reminder about Application Maintenance on Wednesday September 28, 2022",,AG
53,Capacity Constraint,09/26/2022 03:00:00 PM,09/27/2022 09:00:00 AM,09/28/2022 09:00:00 AM,125449,AGT Pipeline Conditions for 9/27/2022,,AG
54,Operational Flow Order,09/26/2022 07:58:00 AM,09/26/2022 09:00:00 AM,12/25/2022 09:00:00 AM,125434,AGT Operational Flow Order -- LIFTED,,AG
55,Capacity Constraint,09/25/2022 02:38:36 PM,09/26/2022 09:00:00 AM,09/27/2022 09:00:00 AM,125417,AGT Pipeline Conditions for 9/26/2022,,AG
56,Capacity Constraint,09/24/2022 02:49:14 PM,09/25/2022 09:00:00 AM,09/26/2022 09:00:00 AM,125390,AGT Pipeline Conditions for 9/25/2022,,AG
57,Capacity Constraint,09/23/2022 03:01:00 PM,09/24/2022 09:00:00 AM,09/25/2022 09:00:00 AM,125362,AGT Pipeline Conditions for 9/24/2022,,AG
58,Capacity Constraint,09/22/2022 03:07:58 PM,09/23/2022 09:00:00 AM,09/24/2022 09:00:00 AM,125342,AGT Pipeline Conditions for 9/23/2022,,AG
59,Capacity Constraint,09/21/2022 02:46:28 PM,09/22/2022 09:00:00 AM,09/23/2022 09:00:00 AM,125295,AGT Pipeline Conditions for 9/22/2022,,AG
60,Capacity Constraint,09/20/2022 02:50:00 PM,09/21/2022 09:00:00 AM,09/22/2022 09:00:00 AM,125257,AGT Pipeline Conditions for 9/21/2022,,AG
61,Capacity Constraint,09/19/2022 03:48:07 PM,09/20/2022 09:00:00 AM,09/21/2022 09:00:00 AM,125238,AGT Pipeline Conditions for 9/20/2022,,AG
62,Capacity Constraint,09/18/2022 03:15:55 PM,09/19/2022 09:00:00 AM,09/20/2022 09:00:00 AM,125210,AGT Pipeline Conditions for 9/19/2022,,AG
63,Capacity Constraint,09/17/2022 03:31:31 PM,09/18/2022 09:00:00 AM,09/19/2022 09:00:00 AM,125182,AGT Pipeline Conditions for 9/18/2022,,AG
64,Capacity Constraint,09/16/2022 03:08:00 PM,09/17/2022 09:00:00 AM,09/18/2022 09:00:00 AM,125154,AGT Pipeline Conditions for 9/17/2022,,AG
65,Capacity Constraint,09/15/2022 03:25:21 PM,09/16/2022 09:00:00 AM,09/17/2022 09:00:00 AM,125122,AGT Pipeline Conditions for 9/16/2022,,AG
66,Operational Flow Order,09/15/2022 07:55:00 AM,09/17/2022 09:00:00 AM,12/14/2022 09:00:00 AM,125097,AGT Operational Flow Order,,AG
67,Capacity Constraint,09/14/2022 04:13:11 PM,09/15/2022 09:00:00 AM,09/16/2022 09:00:00 AM,125093,AGT Pipeline Conditions for 9/15/2022,,AG
68,Capacity Constraint,09/13/2022 04:58:17 PM,09/14/2022 09:00:00 AM,09/15/2022 09:00:00 AM,125065,AGT Pipeline Conditions for 9/14/2022 -- INTRADAY,,AG
69,Capacity Constraint,09/13/2022 03:37:56 PM,09/14/2022 09:00:00 AM,09/15/2022 09:00:00 AM,125062,AGT Pipeline Conditions for 9/14/2022,,AG
70,Capacity Constraint,09/12/2022 03:12:00 PM,09/13/2022 09:00:00 AM,09/14/2022 09:00:00 AM,124983,AGT Pipeline Conditions for 9/13/2022,,AG
71,Computer System Status,09/12/2022 07:11:29 AM,09/12/2022 07:11:29 AM,12/11/2022 07:11:29 AM,124931,"Changes to LINK System Maintenance for the week of September 12, 2022",,AG
72,Capacity Constraint,09/11/2022 03:18:58 PM,09/12/2022 09:00:00 AM,09/13/2022 09:00:00 AM,124927,AGT Pipeline Conditions for 9/12/2022,,AG
73,Capacity Constraint,09/10/2022 02:56:55 PM,09/11/2022 09:00:00 AM,09/12/2022 09:00:00 AM,124888,AGT Pipeline Conditions for 9/11/2022,,AG
74,Capacity Constraint,09/09/2022 03:21:00 PM,09/10/2022 09:00:00 AM,09/11/2022 09:00:00 AM,124868,AGT Pipeline Conditions for 9/10/2022,,AG
75,Capacity Constraint,09/08/2022 03:58:00 PM,09/09/2022 09:00:00 AM,09/10/2022 09:00:00 AM,124819,AGT Pipeline Conditions for 9/9/2022,,AG
76,Capacity Constraint,09/07/2022 04:01:26 PM,09/08/2022 09:00:00 AM,09/09/2022 09:00:00 AM,124789,AGT Pipeline Conditions for 9/8/2022,,AG
77,Capacity Constraint,09/06/2022 03:22:00 PM,09/07/2022 09:00:00 AM,09/08/2022 09:00:00 AM,124751,AGT Pipeline Conditions for 9/7/2022,,AG
78,Capacity Constraint,09/05/2022 02:56:15 PM,09/06/2022 09:00:00 AM,09/07/2022 09:00:00 AM,124701,AGT Pipeline Conditions for 9/6/2022,,AG
79,Capacity Constraint,09/04/2022 02:37:20 PM,09/05/2022 09:00:00 AM,09/06/2022 09:00:00 AM,124672,AGT Pipeline Conditions for 9/5/2022,,AG
80,Capacity Constraint,09/03/2022 02:53:39 PM,09/04/2022 09:00:00 AM,09/05/2022 02:53:39 PM,124648,AGT Pipeline Conditions for 9/4/2022,,AG
81,Capacity Constraint,09/02/2022 03:15:00 PM,09/03/2022 09:00:00 AM,09/04/2022 09:00:00 AM,124631,AGT Pipeline Conditions for 9/3/2022,,AG
82,Capacity Constraint,09/01/2022 03:32:19 PM,09/02/2022 09:00:00 AM,09/03/2022 09:00:00 AM,124597,AGT Pipeline Conditions for 9/2/2022,,AG
83,Computer System Status,09/01/2022 08:45:25 AM,09/01/2022 08:45:25 AM,11/30/2022 08:45:25 AM,124550,Application Maintenance on September 14,,AG
84,Operational Flow Order,09/01/2022 08:15:13 AM,09/01/2022 09:00:00 AM,11/30/2022 09:00:00 AM,124548,AGT Customer Specific OFO -- LIFTED,,AG
85,Operational Flow Order,09/01/2022 07:59:46 AM,09/03/2022 09:00:00 AM,09/06/2022 09:00:00 AM,124546,AGT Operational Flow Order,,AG
86,Capacity Constraint,08/31/2022 03:47:14 PM,09/01/2022 09:00:00 AM,09/02/2022 09:00:00 AM,124538,AGT Pipeline Conditions for 9/1/2022,,AG
87,Capacity Constraint,08/30/2022 03:45:00 PM,08/31/2022 09:00:00 AM,09/01/2022 09:00:00 AM,124506,AGT Pipeline Conditions for 8/31/2022,,AG
88,Operational Flow Order,08/30/2022 09:05:00 AM,08/30/2022 09:05:00 AM,11/28/2022 09:05:00 AM,124479,AGT Customer Specific OFO - CORRECTION,,AG
89,Operational Flow Order,08/30/2022 08:57:00 AM,08/30/2022 09:00:00 AM,11/28/2022 09:00:00 AM,124478,AGT Customer Specific OFO,,AG
90,Capacity Constraint,08/29/2022 03:45:56 PM,08/30/2022 09:00:00 AM,08/31/2022 09:00:00 AM,124469,AGT Pipeline Conditions for 8/30/2022,,AG
91,Capacity Constraint,08/28/2022 03:25:34 PM,08/29/2022 09:00:00 AM,08/30/2022 09:00:00 AM,124416,AGT Pipeline Conditions for 8/29/2022,,AG
92,Capacity Constraint,08/27/2022 03:30:59 PM,08/28/2022 09:00:00 AM,08/29/2022 09:00:00 AM,124389,AGT Pipeline Conditions for 8/28/2022,,AG
93,Capacity Constraint,08/26/2022 03:39:37 PM,08/27/2022 09:00:00 AM,08/28/2022 09:00:00 AM,124360,AGT Pipeline Conditions for 8/27/2022,,AG
94,Capacity Constraint,08/25/2022 03:18:24 PM,08/26/2022 09:00:00 AM,08/27/2022 09:00:00 AM,124331,AGT Pipeline Conditions for 8/26/2022,,AG
95,Operational Flow Order,08/25/2022 08:00:00 AM,08/26/2022 09:00:00 AM,08/27/2022 09:00:00 AM,124298,AGT Operational Flow Order,,AG
96,Capacity Constraint,08/24/2022 03:46:07 PM,08/25/2022 09:00:00 AM,08/26/2022 09:00:00 AM,124288,AGT Pipeline Conditions for 8/25/2022,,AG
97,Capacity Constraint,08/23/2022 03:25:31 PM,08/24/2022 09:00:00 AM,08/25/2022 09:00:00 AM,124261,AGT Pipeline Conditions for 8/24/2022,,AG
98,Capacity Constraint,08/22/2022 02:59:00 PM,08/23/2022 09:00:00 AM,08/24/2022 09:00:00 AM,124214,AGT Pipeline Conditions for 8/23/2022,,AG
99,Capacity Constraint,08/21/2022 03:01:06 PM,08/22/2022 09:00:00 AM,08/23/2022 09:00:00 AM,124183,AGT Pipeline Conditions for 8/22/2022,,AG
100,Capacity Constraint,08/20/2022 03:14:38 PM,08/21/2022 09:00:00 AM,08/22/2022 09:00:00 AM,124167,AGT Pipeline Conditions for 8/21/2022,,AG
101,Capacity Constraint,08/19/2022 03:22:00 PM,08/20/2022 09:00:00 AM,08/21/2022 09:00:00 AM,124141,AGT Pipeline Conditions for 8/20/2022,,AG
102,Capacity Constraint,08/18/2022 03:05:00 PM,08/19/2022 09:00:00 AM,08/20/2022 09:00:00 AM,124100,AGT Pipeline Conditions for 8/19/2022,,AG
103,Operational Flow Order,08/18/2022 03:00:00 PM,08/20/2022 09:00:00 AM,08/22/2022 09:00:00 AM,124079,AGT Operational Flow Order,,AG
104,Capacity Constraint,08/18/2022 12:01:00 PM,08/18/2022 12:01:00 PM,11/16/2022 12:01:00 PM,124085,J System Line J-1 Valve Section 7 Isolation -- COMPLETE,,AG
105,Capacity Constraint,08/18/2022 08:54:32 AM,08/18/2022 08:54:32 AM,11/16/2022 08:54:32 AM,124082,J System Line J-1 Valve Section 7 -- UPDATE,,AG
106,Computer System Status,08/18/2022 07:14:34 AM,08/18/2022 07:14:34 AM,11/16/2022 07:14:34 AM,124055,LINK System Maintenance the weekend of September 16th,,AG
107,Capacity Constraint,08/17/2022 03:25:00 PM,08/18/2022 09:00:00 AM,08/19/2022 09:00:00 AM,124051,AGT Pipeline Conditions for 8/18/2022,,AG
108,Capacity Constraint,08/16/2022 03:19:18 PM,08/17/2022 09:00:00 AM,08/18/2022 09:00:00 AM,123975,AGT Pipeline Conditions for 8/17/2022,,AG
109,Capacity Constraint,08/15/2022 03:10:00 PM,08/16/2022 09:00:00 AM,08/17/2022 09:00:00 AM,123933,AGT Pipeline Conditions for 8/16/2022,,AG
110,Capacity Constraint,08/14/2022 02:58:25 PM,08/15/2022 09:00:00 AM,08/16/2022 09:00:00 AM,123908,AGT Pipeline Conditions for 8/15/2022,,AG
111,Capacity Constraint,08/13/2022 02:59:03 PM,08/14/2022 09:00:00 AM,08/15/2022 09:00:00 AM,123881,AGT Pipeline Conditions for 8/14/2022,,AG
112,Capacity Constraint,08/12/2022 03:03:12 PM,08/13/2022 09:00:00 AM,08/14/2022 09:00:00 AM,123845,AGT Pipeline Conditions for 8/13/2022,,AG
113,Capacity Constraint,08/11/2022 02:50:59 PM,08/12/2022 09:00:00 AM,08/13/2022 09:00:00 AM,123809,AGT Pipeline Conditions for 8/12/2022,,AG
114,Operational Flow Order,08/11/2022 07:57:00 AM,08/13/2022 09:00:00 AM,08/15/2022 09:00:00 AM,123793,AGT Operational Flow Order,,AG
115,Capacity Constraint,08/10/2022 03:16:00 PM,08/11/2022 09:00:00 AM,08/12/2022 09:00:00 AM,123787,AGT Pipeline Conditions for 8/11/2022,,AG
116,Capacity Constraint,08/09/2022 03:16:25 PM,08/10/2022 09:00:00 AM,08/11/2022 09:00:00 AM,123742,AGT Pipeline Conditions for 8/10/2022,,AG
117,Capacity Constraint,08/08/2022 03:16:00 PM,08/09/2022 09:00:00 AM,08/10/2022 09:00:00 AM,123716,AGT Pipeline Conditions for 8/9/2022,,AG
118,Operational Flow Order,08/08/2022 03:00:00 PM,08/10/2022 09:00:00 AM,11/06/2022 09:00:00 AM,123689,AGT Operational Flow Order -- LIFTED,,AG
119,Capacity Constraint,08/07/2022 03:13:22 PM,08/08/2022 09:00:00 AM,08/09/2022 09:00:00 AM,123684,AGT Pipeline Conditions for 8/8/2022,,AG
120,Capacity Constraint,08/06/2022 03:48:31 PM,08/07/2022 09:00:00 AM,08/08/2022 09:00:00 AM,123656,AGT Pipeline Conditions for 8/7/2022,,AG
121,Capacity Constraint,08/05/2022 03:23:00 PM,08/06/2022 09:00:00 AM,08/07/2022 09:00:00 AM,123620,AGT Pipeline Conditions for 8/6/2022,,AG
122,Capacity Constraint,08/04/2022 03:16:00 PM,08/05/2022 09:00:00 AM,08/06/2022 09:00:00 AM,123596,AGT Pipeline Conditions for 8/5/2022 -- CORRECTION,,AG
123,Capacity Constraint,08/04/2022 03:11:11 PM,08/05/2022 09:00:00 AM,08/06/2022 09:00:00 AM,123595,AGT Pipeline Conditions for 8/5/2022,,AG
124,Capacity Constraint,08/03/2022 03:57:00 PM,08/04/2022 09:00:00 AM,08/05/2022 09:00:00 AM,123563,AGT Pipeline Conditions for 8/4/2022,,AG
0,Capacity Constraint,10/31/2022 04:11:00 PM,11/01/2022 09:00:00 AM,11/02/2022 09:00:00 AM,126913,Bobcat Storage Conditions for 11/1/2022,,BGS
1,Capacity Constraint,10/30/2022 02:53:16 PM,10/31/2022 09:00:00 AM,11/01/2022 09:00:00 AM,126858,Bobcat Storage Conditions for 10/31/2022,,BGS
2,Capacity Constraint,10/29/2022 03:07:12 PM,10/30/2022 09:00:00 AM,10/31/2022 09:00:00 AM,126837,Bobcat Storage Conditions for 10/30/2022,,BGS
3,Capacity Constraint,10/26/2022 02:36:03 PM,10/27/2022 09:00:00 AM,10/28/2022 09:00:00 AM,126710,Bobcat Storage Conditions for 10/27/2022,,BGS
4,Capacity Constraint,10/25/2022 04:01:21 PM,10/26/2022 09:00:00 AM,10/27/2022 09:00:00 AM,126671,Bobcat Storage Conditions for 10/26/2022,,BGS
5,Capacity Constraint,10/24/2022 07:16:49 PM,10/25/2022 09:00:00 AM,10/26/2022 09:00:00 AM,126642,Bobcat Storage Conditions for 10/25/2022 -- INTRADAY,,BGS
6,Capacity Constraint,10/23/2022 03:29:45 PM,10/24/2022 09:00:00 AM,10/25/2022 09:00:00 AM,126586,Bobcat Storage Conditions for 10/24/2022,,BGS
7,Capacity Constraint,10/22/2022 02:53:42 PM,10/23/2022 09:00:00 AM,10/24/2022 09:00:00 AM,126543,Bobcat Storage Conditions for 10/23/2022,,BGS
8,Capacity Constraint,10/21/2022 03:24:33 PM,10/22/2022 09:00:00 AM,10/23/2022 09:00:00 AM,126517,Bobcat Storage Conditions for 10/22/2022,,BGS
9,Capacity Constraint,10/20/2022 04:21:04 PM,10/21/2022 09:00:00 AM,10/22/2022 09:00:00 AM,126483,Bobcat Storage Conditions for 10/21/2022,,BGS
10,Capacity Constraint,10/16/2022 03:01:02 PM,10/17/2022 09:00:00 AM,10/18/2022 09:00:00 AM,126299,Bobcat Storage Conditions for 10/17/2022,,BGS
11,Capacity Constraint,10/15/2022 02:47:57 PM,10/16/2022 09:00:00 AM,10/17/2022 09:00:00 AM,126272,Bobcat Storage Conditions for 10/16/2022,,BGS
12,Capacity Constraint,10/14/2022 03:49:00 PM,10/15/2022 09:00:00 AM,10/16/2022 09:00:00 AM,126256,Bobcat Storage Conditions for 10/15/2022,,BGS
13,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126204,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,BGS
14,Capacity Constraint,10/13/2022 02:54:00 PM,10/14/2022 09:00:00 AM,10/15/2022 09:00:00 AM,126182,Bobcat Storage Conditions for 10/14/2022,,BGS
15,Capacity Constraint,10/12/2022 03:20:36 PM,10/13/2022 09:00:00 AM,10/14/2022 09:00:00 AM,126155,Bobcat Storage Conditions for 10/13/2022,,BGS
16,Capacity Constraint,10/11/2022 03:02:22 PM,10/12/2022 09:00:00 AM,10/13/2022 09:00:00 AM,126113,Bobcat Storage Conditions for 10/12/2022,,BGS
17,Capacity Constraint,10/10/2022 03:33:54 PM,10/11/2022 09:00:00 AM,10/12/2022 09:00:00 AM,126057,Bobcat Storage Conditions for 10/11/2022,,BGS
18,Capacity Constraint,10/09/2022 03:37:04 PM,10/10/2022 09:00:00 AM,10/11/2022 09:00:00 AM,126009,Bobcat Storage Conditions for 10/10/2022,,BGS
19,Capacity Constraint,10/08/2022 03:16:56 PM,10/09/2022 09:00:00 AM,10/10/2022 09:00:00 AM,125975,Bobcat Storage Conditions for 10/9/2022,,BGS
20,Capacity Constraint,10/07/2022 03:43:43 PM,10/08/2022 09:00:00 AM,10/09/2022 09:00:00 AM,125942,Bobcat Storage Conditions for 10/8/2022,,BGS
21,Capacity Constraint,10/06/2022 03:13:47 PM,10/07/2022 09:00:00 AM,10/08/2022 09:00:00 AM,125906,Bobcat Storage Conditions for 10/7/2022,,BGS
22,Computer System Status,10/06/2022 02:28:06 PM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,125867,LINK System Maintenance the weekend of October 14th,,BGS
23,Capacity Constraint,10/05/2022 03:04:42 PM,10/06/2022 09:00:00 AM,10/07/2022 09:00:00 AM,125834,Bobcat Storage Conditions for 10/6/2022,,BGS
24,Capacity Constraint,10/04/2022 02:59:01 PM,10/05/2022 09:00:00 AM,10/06/2022 09:00:00 AM,125796,Bobcat Storage Conditions for 10/5/2022,,BGS
25,Computer System Status,10/04/2022 07:49:45 AM,10/05/2022 05:00:00 AM,10/05/2022 10:00:00 AM,125766,"Reminder - Application Maintenance on Wednesday October 5, 2022",,BGS
26,Capacity Constraint,10/03/2022 03:13:40 PM,10/04/2022 09:00:00 AM,10/05/2022 09:00:00 AM,125758,Bobcat Storage Conditions for 10/4/2022,,BGS
27,Capacity Constraint,10/02/2022 02:59:33 PM,10/03/2022 09:00:00 AM,10/04/2022 09:00:00 AM,125701,Bobcat Storage Conditions for 10/3/2022,,BGS
28,Capacity Constraint,10/01/2022 03:21:50 PM,10/02/2022 09:00:00 AM,10/03/2022 09:00:00 AM,125688,Bobcat Storage Conditions for 10/2/2022,,BGS
29,Capacity Constraint,09/30/2022 03:45:39 PM,10/01/2022 09:00:00 AM,10/02/2022 09:00:00 AM,125655,Bobcat Storage Conditions for 10/1/2022,,BGS
30,Computer System Status,09/27/2022 01:36:32 PM,09/27/2022 01:36:32 PM,12/26/2022 01:36:32 PM,125494,"LINK Application Maintenance Postponed until October 5, 2022",,BGS
31,Computer System Status,09/26/2022 03:38:32 PM,09/26/2022 03:38:32 PM,12/25/2022 03:38:32 PM,125466,"Reminder about Application Maintenance on Wednesday September 28, 2022",,BGS
32,Computer System Status,09/12/2022 07:11:29 AM,09/12/2022 07:11:29 AM,12/11/2022 07:11:29 AM,124932,"Changes to LINK System Maintenance for the week of September 12, 2022",,BGS
33,Computer System Status,09/01/2022 08:45:25 AM,09/01/2022 08:45:25 AM,11/30/2022 08:45:25 AM,124551,Application Maintenance on September 14,,BGS
34,Computer System Status,08/18/2022 07:14:34 AM,08/18/2022 07:14:34 AM,11/16/2022 07:14:34 AM,124056,LINK System Maintenance the weekend of September 16th,,BGS
